Date,Category,Description,Amount
2025-07-23,Food,Veg Thali,136.00
2025-07-23,Food,Tea & Biscuit,17.00
2025-07-23,Medicines,Vitamin Capsules & Rose Water,89.00
2025-07-24,Food,Mendhu Wada,70.00
2025-07-24,Food,Fried Rice,60.00
2025-07-24,Food,Chai & Bun,38.00
2025-07-25,Food,"Poha, Tea & Bun Maska",54.00
2025-07-25,Food,Biryani,190.00
2025-07-26,Food,Pizza & Colddrink,89.00
2025-07-28,Food,Tea,12.00
2025-07-29,Shopping,Closeup & Shampoo,25.00
2025-07-29,Saloon,Hair Cut & Cleanup,500.00
2025-07-29,Transport,Prati Shirdi & Birla Temple,350.00
2025-07-29,Medicines,Grandma Treatment,2000.00
2025-07-29,Bills,Mobile Recharge,859.00
2025-07-29,Rent,PG Rent,8500.00
2025-07-29,Rent,Home Rent,10000.00
2025-07-29,Shopping,T-Shirt Combo,699.00
2025-07-16,Investment,SBI SIP,1000.00
2025-07-29,Shopping,Shoes Combo,402.00
2025-07-29,Shopping,Track Suit with T-shirt,301.00
2025-07-29,Loan,Fibe EMI,5446.00
